Date,Time,Time(s),O2 Charge
2019-05-22,21:06:51,17263,-2.10964
2019-05-22,21:07:01,17273,-1.97757
2019-05-22,21:07:11,17283,-1.95042
2019-05-22,21:07:21,17293,-2.01981
2019-05-22,21:07:31,17303,-1.98291
2019-05-22,21:07:41,17313,-2.02885
2019-05-22,21:07:51,17323,-1.99266
2019-05-22,21:08:01,17333,-1.90515
2019-05-22,21:08:11,17343,-1.99266
2019-05-22,21:08:21,17353,-1.93533
2019-05-22,21:08:31,17363,-1.98591
2019-05-22,21:08:41,17373,-1.99266
2019-05-22,21:08:51,17383,-1.93767
2019-05-22,21:09:01,17393,-2.01609
2019-05-22,21:09:11,17403,-1.89611
2019-05-22,21:09:21,17413,-1.94367
2019-05-22,21:09:31,17423,-1.81764
2019-05-22,21:09:41,17433,-1.85918
2019-05-22,21:09:51,17443,-1.89611
2019-05-22,21:10:01,17453,-1.95345
2019-05-22,21:10:11,17463,-1.82522
2019-05-22,21:10:21,17473,-1.67514
2019-05-22,21:10:31,17483,-1.88636
2019-05-22,21:10:41,17493,-1.7747
2019-05-22,21:10:51,17503,-1.76263
2019-05-22,21:11:01,17513,-1.72569
2019-05-22,21:11:11,17523,-1.81394
2019-05-22,21:11:21,17533,-1.6849
2019-05-22,21:11:31,17543,-1.67814
2019-05-22,21:11:41,17553,-1.64797
2019-05-22,21:11:52,17564,-1.73017
2019-05-22,21:12:02,17574,-1.69021
2019-05-22,21:12:12,17584,-1.69021
2019-05-22,21:12:22,17594,-1.59891
2019-05-22,21:12:32,17604,-1.73545
2019-05-22,21:12:42,17614,-1.51443
2019-05-22,21:12:52,17624,-1.60194
2019-05-22,21:13:02,17634,-1.64797
2019-05-22,21:13:12,17644,-1.7777
2019-05-22,21:13:22,17654,-1.5114
2019-05-22,21:13:32,17664,-1.64797
2019-05-22,21:13:42,17674,-1.60573
2019-05-22,21:13:52,17684,-1.65097
2019-05-22,21:14:02,17694,-1.60573
2019-05-22,21:14:12,17704,-1.65097
2019-05-22,21:14:22,17714,-1.59666
2019-05-22,21:14:32,17724,-1.60873
2019-05-22,21:14:42,17734,-1.47222
2019-05-22,21:14:52,17744,-1.38544
2019-05-22,21:15:02,17754,-1.51443
2019-05-22,21:15:12,17764,-1.51217
2019-05-22,21:15:22,17774,-1.55671
2019-05-22,21:15:32,17784,-1.56041
2019-05-22,21:15:42,17794,-1.51744
2019-05-22,21:15:52,17804,-1.43825
2019-05-22,21:16:02,17814,-1.29496
2019-05-22,21:16:12,17824,-1.39073
2019-05-22,21:16:22,17834,-1.42768
2019-05-22,21:16:32,17844,-1.3402
2019-05-22,21:16:42,17854,-1.3432
2019-05-22,21:16:52,17864,-1.42768
2019-05-22,21:17:03,17875,-1.396
2019-05-22,21:17:13,17885,-1.393
2019-05-22,21:17:23,17895,-1.31152
2019-05-22,21:17:33,17905,-1.46993
2019-05-22,21:17:43,17915,-1.35144
2019-05-22,21:17:53,17925,-1.396
2019-05-22,21:18:03,17935,-1.30622
2019-05-22,21:18:13,17945,-1.26397
2019-05-22,21:18:23,17955,-1.18479
2019-05-22,21:18:33,17965,-1.18479
2019-05-22,21:18:43,17975,-1.2602
2019-05-22,21:18:53,17985,-1.21496
2019-05-22,21:19:03,17995,-1.34469
2019-05-22,21:19:13,18005,-1.26927
2019-05-22,21:19:23,18015,-1.1033
2019-05-22,21:19:33,18025,-1.22703
2019-05-22,21:19:43,18035,-1.2247
2019-05-22,21:19:53,18045,-1.17872
2019-05-22,21:20:03,18055,-1.13048
2019-05-22,21:20:13,18065,-1.09349
2019-05-22,21:20:23,18075,-1.08823
2019-05-22,21:20:33,18085,-1.18779
2019-05-22,21:20:43,18095,-1.13871
2019-05-22,21:20:53,18105,-1.13871
2019-05-22,21:21:03,18115,-1.09349
2019-05-22,21:21:13,18125,-1.04899
2019-05-22,21:21:23,18135,-1.17949
2019-05-22,21:21:33,18145,-1.06106
2019-05-22,21:21:43,18155,-1.00675
2019-05-22,21:21:53,18165,-1.18392
2019-05-22,21:22:03,18175,-1.04899
2019-05-22,21:22:14,18186,-1.14168
2019-05-22,21:22:24,18196,-1.00675
2019-05-22,21:22:34,18206,-1.05422
2019-05-22,21:22:44,18216,-1.05199
2019-05-22,21:22:54,18226,-1.01197
2019-05-22,21:23:04,18236,-0.96973
2019-05-22,21:23:14,18246,-1.09943
2019-05-22,21:23:24,18256,--
2019-05-22,21:23:46,18278,--
2019-05-22,21:23:46,18278,-3.7821
2019-05-22,21:23:56,18288,-3.57395
2019-05-22,21:24:06,18298,-3.66454
2019-05-22,21:24:16,18308,-3.58499
2019-05-22,21:24:26,18318,-3.61329
2019-05-22,21:24:36,18328,-3.48351
2019-05-22,21:24:46,18338,-3.58617
2019-05-22,21:24:56,18348,-3.70942
2019-05-22,21:25:06,18358,-3.61287
2019-05-22,21:25:16,18368,-3.66415
2019-05-22,21:25:26,18378,-3.65662
2019-05-22,21:25:36,18388,-3.53542
2019-05-22,21:25:46,18398,-3.66515
2019-05-22,21:25:56,18408,-3.61991
2019-05-22,21:26:06,18418,-3.66515
2019-05-22,21:26:16,18428,-3.57365
2019-05-22,21:26:26,18438,-3.53141
2019-05-22,21:26:36,18448,-3.4439
2019-05-22,21:26:46,18458,-3.67115
2019-05-22,21:26:56,18468,-3.53692
2019-05-22,21:27:06,18478,-3.53992
2019-05-22,21:27:16,18488,-3.53992
2019-05-22,21:27:26,18498,-3.57707
2019-05-22,21:27:36,18508,-3.52936
2019-05-22,21:27:46,18518,-3.36288
2019-05-22,21:27:57,18529,-3.40263
2019-05-22,21:28:07,18539,-3.41319
2019-05-22,21:28:17,18549,-3.49767
2019-05-22,21:28:27,18559,-3.53483
2019-05-22,21:28:37,18569,-3.35888
2019-05-22,21:28:47,18579,-3.40412
2019-05-22,21:28:57,18589,-3.36188
2019-05-22,21:29:07,18599,-3.31663
2019-05-22,21:29:17,18609,-3.27542
2019-05-22,21:29:27,18619,-3.31963
2019-05-22,21:29:37,18629,-3.36585
2019-05-22,21:29:47,18639,-3.36882
2019-05-22,21:29:57,18649,-3.44668
2019-05-22,21:30:07,18659,-3.28283
2019-05-22,21:30:17,18669,-3.23761
2019-05-22,21:30:27,18679,-3.18778
2019-05-22,21:30:37,18689,-3.23545
2019-05-22,21:30:47,18699,-3.28064
2019-05-22,21:30:57,18709,-3.31994
2019-05-22,21:31:07,18719,-3.19834
2019-05-22,21:31:17,18729,-3.19834
2019-05-22,21:31:27,18739,-3.19321
2019-05-22,21:31:37,18749,-3.10178
2019-05-22,21:31:47,18759,-3.10178
2019-05-22,21:31:57,18769,-3.15391
2019-05-22,21:32:07,18779,-3.19615
2019-05-22,21:32:17,18789,-3.19615
2019-05-22,21:32:27,18799,-3.26857
2019-05-22,21:32:37,18809,-2.98198
2019-05-22,21:32:47,18819,-3.0544
